ID;Designator;Footprint;count;Bezeichnung;Anbieter und Referenz
4;J2;FH12-30S-0.5SH;1;0.5K-DX-40PWBG;
5;Q1;SOT-23;1;FDN340P;
6;J7;FH12-5S-0.5SH;1;Conn_01x05_Socket;
8;R9,R3,R19,R13,R23,R14,R16,R33,R15,R17,R20,R4,R22;R_0805_2012Metric;13;10k;
9;C9;C_0805_2012Metric;1;10uF;
10;R12,R32,R10,R26,R11,R5,R6;R_0805_2012Metric;7;100k;
11;C8,C11,C2,C5,C4;C_0805_2012Metric;5;10u;
12;C7;C_1206_3216Metric;1;22uF;
13;U1;SOT-23-6_Handsoldering;1;sdb628;
14;J6;JST-GH_1_25;1;Conn_01x02_Socket;
16;R25,R28;R_0805_2012Metric;2;5.1k;
17;D2;D_1206_3216Metric;1;SCHOTTKY DIODE SS24 2A 40V SMA SR240 DO-214AC;
18;R7,R8;R_0805_2012Metric;2;33;
19;C13,C12;C_0805_2012Metric;2;0.1u;
20;R30;R_0805_2012Metric;1;20k;
21;SW11;SW_SPST_TL3342;1;BTN_SEL;
22;U3;SOP-8_3.76x4.96mm_P1.27mm;1;~;
23;C6,C3;C_1206_3216Metric;2;10u;
27;J4;USB_C_Receptacle_G-Switch_GT-USB-7010ASV;1;USB_B_Micro;
33;C1;C_0805_2012Metric;1;1u;
34;T1;SOT-23;1;DMG2305UX;
35;L1;L_APV_ANR5012;1;3.3uH;
36;SW9;SW_TL3330AF260QG;1;SW_Push;
38;U2;SOT-23-3;1;AO3401;
39;U9;WT0132P4_SOM;1;~;
40;U7,U6;SOT-23-3;2;AO3402;
41;C24,C25;C_0805_2012Metric;2;1uF;
42;R1;R_0805_2012Metric;1;150k 1%;
43;R2;R_0805_2012Metric;1;6.2k 1%;
44;R18;R_0805_2012Metric;1;1.65k;
45;C10;C_0805_2012Metric;1;22u;
46;R31;R_0805_2012Metric;1;10k (getestet);
48;SW10;SW_SPST_TL3342;1;BTN_ST;
49;J1;pj242;1;AudioJack2_Ground_Switch;
51;U10;SOT-223;1;AMS1117-1.8;
52;U4;SOT95P280X145-6N;1;TPS22810TDBVRQ1;
54;D3,D1;SDO_SOD-123FL_ONS;2;MBR120VLSFT1G;
55;R21,R24;R_0805_2012Metric;2;30k;
56;U5;SOT-25_TOR;1;XC6222B331MR-G;
57;J5;TF-01A;1;Micro_SD_Card_Det1;
58;R29;R_0805_2012Metric;1;100M;
61;U8;SOT-23-6_Handsoldering;1;TP4054SOT-26-R;
62;TP2,TP4;TestPoint_Pad_D1.5mm;2;BTN_L;
63;C26;C_0805_2012Metric;1;NN;
